,unique_id,ds,y,y_pred
189,SKU_02,2024-03-28,409.0,506.80014
190,SKU_02,2024-03-29,70.0,317.77823
191,SKU_02,2024-03-30,42.0,73.44289
192,SKU_02,2024-03-31,47.0,56.62573
193,SKU_02,2024-04-01,510.0,622.9964
194,SKU_02,2024-04-02,527.0,617.5729
195,SKU_02,2024-04-03,446.0,598.68823
196,SKU_02,2024-04-04,512.0,569.27704
197,SKU_02,2024-04-05,345.0,435.71124
198,SKU_02,2024-04-06,92.0,61.939842
199,SKU_02,2024-04-07,63.0,62.711285
200,SKU_02,2024-04-08,486.0,569.6729
201,SKU_02,2024-04-09,456.0,586.57605
202,SKU_02,2024-04-10,416.0,578.7949
203,SKU_02,2024-04-11,446.0,618.3716
204,SKU_02,2024-04-12,452.0,454.8321
205,SKU_02,2024-04-13,89.0,80.52922
206,SKU_02,2024-04-14,87.0,86.86827
207,SKU_02,2024-04-15,492.0,544.8247
208,SKU_02,2024-04-16,419.0,530.029
209,SKU_02,2024-04-17,489.0,503.2884
210,SKU_02,2024-04-18,400.0,489.19476
211,SKU_02,2024-04-19,414.0,369.04877
212,SKU_02,2024-04-20,74.0,46.32913
213,SKU_02,2024-04-21,46.0,58.10812
214,SKU_02,2024-04-22,478.0,509.57443
215,SKU_02,2024-04-23,514.0,472.60202
216,SKU_02,2024-04-24,448.0,494.82358
217,SKU_02,2024-04-25,415.0,527.9117
218,SKU_02,2024-04-26,492.0,432.63602
219,SKU_02,2024-04-27,88.0,64.843376
220,SKU_02,2024-04-28,51.0,53.254868
221,SKU_02,2024-04-29,496.0,489.2603
222,SKU_02,2024-04-30,493.0,527.90204
223,SKU_02,2024-05-01,123.0,429.65103
224,SKU_02,2024-05-02,577.0,601.9803
225,SKU_02,2024-05-03,571.0,479.18405
226,SKU_02,2024-05-04,77.0,78.29808
227,SKU_02,2024-05-05,105.0,75.70605
228,SKU_02,2024-05-06,732.0,611.04517
229,SKU_02,2024-05-07,489.0,582.3837
230,SKU_02,2024-05-08,453.0,560.65454
231,SKU_02,2024-05-09,462.0,571.02466
232,SKU_02,2024-05-10,412.0,413.72958
233,SKU_02,2024-05-11,73.0,79.654274
234,SKU_02,2024-05-12,65.0,67.00845
235,SKU_02,2024-05-13,592.0,566.703
236,SKU_02,2024-05-14,356.0,554.6947
237,SKU_02,2024-05-15,368.0,502.98148
238,SKU_02,2024-05-16,326.0,487.39374
239,SKU_02,2024-05-17,287.0,407.15106
240,SKU_02,2024-05-18,34.0,52.811317
241,SKU_02,2024-05-19,36.0,62.483402
242,SKU_02,2024-05-20,458.0,511.51318
243,SKU_02,2024-05-21,393.0,488.15897
244,SKU_02,2024-05-22,393.0,452.9836
245,SKU_02,2024-05-23,436.0,482.05365
246,SKU_02,2024-05-24,424.0,406.26074
247,SKU_02,2024-05-25,81.0,48.965755
248,SKU_02,2024-05-26,59.0,54.81513
249,SKU_02,2024-05-27,434.0,491.70175
250,SKU_02,2024-05-28,463.0,507.61774
251,SKU_02,2024-05-29,424.0,480.57733
252,SKU_02,2024-05-30,68.0,493.6228
253,SKU_02,2024-05-31,262.0,416.5945
254,SKU_02,2024-06-01,54.0,84.26467
255,SKU_02,2024-06-02,53.0,75.06477
256,SKU_02,2024-06-03,632.0,630.5879
257,SKU_02,2024-06-04,554.0,591.8963
258,SKU_02,2024-06-05,558.0,575.1079
259,SKU_02,2024-06-06,558.0,440.6273
260,SKU_02,2024-06-07,459.0,444.89752
261,SKU_02,2024-06-08,76.0,70.97465
262,SKU_02,2024-06-09,56.0,73.53632
263,SKU_02,2024-06-10,475.0,614.10944
264,SKU_02,2024-06-11,593.0,598.1454
265,SKU_02,2024-06-12,469.0,534.6582
266,SKU_02,2024-06-13,421.0,563.55176
267,SKU_02,2024-06-14,383.0,454.05023
268,SKU_02,2024-06-15,70.0,94.50724
269,SKU_02,2024-06-16,85.0,76.89367
270,SKU_02,2024-06-17,498.0,533.41925
271,SKU_02,2024-06-18,455.0,495.0685
272,SKU_02,2024-06-19,440.0,480.70026
273,SKU_02,2024-06-20,457.0,471.3716
274,SKU_02,2024-06-21,340.0,404.59763
275,SKU_02,2024-06-22,44.0,61.84188
276,SKU_02,2024-06-23,41.0,55.644466
277,SKU_02,2024-06-24,453.0,489.81735
